precision,recall,threshold
0.0017274795651807534,1.0,0.0
0.003761619050579787,0.983739837398374,7.054986650444422e-05
0.004231361029514618,0.983739837398374,8.654923123918135e-05
0.0043861238989379055,0.983739837398374,0.00011927107093233412
0.006445721652253317,0.975609756097561,0.00018982093743677834
0.00670465973851827,0.975609756097561,0.0002018966044661976
0.006911773247371784,0.967479674796748,0.00020582030217151546
0.006976198850979012,0.967479674796748,0.0002431118314424635
0.007035175879396985,0.967479674796748,0.00026849584482193474
0.008197290725946509,0.959349593495935,0.00027244647097064185
0.008237347294938918,0.959349593495935,0.000288445835705379
0.008239648069268905,0.959349593495935,0.0003126916002452483
0.008320992877794232,0.959349593495935,0.0003136616979469077
0.008348662798924579,0.959349593495935,0.0003211676753985317
0.008477011494252874,0.959349593495935,0.000339045711326379
0.008628253875402165,0.959349593495935,0.0003550450760611161
0.008637095593617333,0.959349593495935,0.0003623829023747976
0.00868093871845803,0.959349593495935,0.00038776691575426886
0.00893195064718795,0.959349593495935,0.000391717541902976
0.00894345914809762,0.959349593495935,0.00039924083148442963
0.008946849647433468,0.959349593495935,0.0004319626711775824
0.009071340713407134,0.959349593495935,0.00043293276887924187
0.009101426918627073,0.959349593495935,0.0004450084359086611
0.00910212897253934,0.959349593495935,0.00045801526717557256
0.009174311926605505,0.959349593495935,0.00045831678225871305
0.009117830423940149,0.9512195121951219,0.00047039244928813234
0.009227129337539433,0.9512195121951219,0.0004743161469934502
0.009228584950307619,0.9512195121951219,0.0005116076762643983
0.009238787113076437,0.9512195121951219,0.0005155583024131054
0.009240246406570842,0.9512195121951219,0.0005185119024167639
0.009242436211391106,0.9512195121951219,0.0005285651336800168
0.009259259259259259,0.9512195121951219,0.0005409423157925765
0.009269529393123118,0.9512195121951219,0.0005569416805273138
0.009270263845971,0.9512195121951219,0.0005642795068409953
0.009270998415213946,0.9512195121951219,0.0005772863381079066
0.009294566253574834,0.9512195121951219,0.0005821575427688425
0.00930047694753577,0.9512195121951219,0.0005896635202204665
0.00934728768874331,0.9512195121951219,0.000590955806783145
0.009415741187831965,0.9512195121951219,0.0006308787471967324
0.009417256922086285,0.9512195121951219,0.0006348293733454396
0.00941801497222893,0.9512195121951219,0.0006451340866925283
0.009563066776586974,0.943089430894309,0.0006478362046123509
0.009566221342569684,0.943089430894309,0.0006493506493506494
0.009624958513109858,0.943089430894309,0.0006602133867249105
0.009626556016597511,0.943089430894309,0.0006615056732875892
0.00963695272908532,0.943089430894309,0.0007014286137011766
0.00963855421686747,0.943089430894309,0.000710226877715479
0.009669889963321108,0.943089430894309,0.0007135042807305958
0.009673922108247853,0.943089430894309,0.0007199005158550935
0.009687656589276766,0.943089430894309,0.0007265111119975072
0.00971198928332217,0.943089430894309,0.0007316833179317096
0.009730727287979196,0.943089430894309,0.0007644051576248623
0.009752816546157726,0.943089430894309,0.0007686217202829836
0.009768421052631579,0.943089430894309,0.0007807767442199233
0.009769243725787434,0.943089430894309,0.00078405414723504
0.009772535804549284,0.943089430894309,0.0007970609785019515
0.009777478084962913,0.943089430894309,0.00083277535166293
0.009781600472215195,0.943089430894309,0.0008391715867874278
0.0097857263371014,0.943089430894309,0.000844475721323012
0.009848034637914933,0.943089430894309,0.0008457821829298414
0.009857239972807614,0.943089430894309,0.0008470306911587259
0.009861429907336563,0.943089430894309,0.0008509543888640437
0.009865623405341044,0.943089430894309,0.000851247253816847
0.009868141216503616,0.943089430894309,0.0008594516516050796
0.009872340425531916,0.943089430894309,0.0008674787744555187
0.00992216234710461,0.943089430894309,0.0009136299315144629
0.00993320774105155,0.943089430894309,0.0009146341463414635
0.010016406182540369,0.943089430894309,0.0009150255878274562
0.010025929127052722,0.943089430894309,0.000938028640959963
0.010034602076124567,0.943089430894309,0.0009578256869377766
0.01003547019638377,0.943089430894309,0.0009637467922553461
0.01004242056964765,0.943089430894309,0.0009663017620910601
0.01004415966750368,0.943089430894309,0.000973573569588678
0.010045029442327675,0.943089430894309,0.0009787227225374138
0.010046769443963278,0.943089430894309,0.0009851840128459078
0.010057222125888677,0.943089430894309,0.000986749845387853
0.010062456627342124,0.943089430894309,0.000998957582968149
0.01006332957404355,0.943089430894309,0.0010001791627536442
0.01006420267221933,0.943089430894309,0.0010011833775806448
0.010065075921908894,0.943089430894309,0.001032901002446797
0.010067696580454782,0.943089430894309,0.0010339052172737976
0.010081696506170693,0.943089430894309,0.0010342966587597903
0.010082572794437202,0.943089430894309,0.0010572997118922969
0.010083449235048678,0.943089430894309,0.0010714285714285715
0.010117749672917575,0.943089430894309,0.0010770967578701107
0.010118632240055827,0.943089430894309,0.0010813133205282318
0.010119514961179446,0.943089430894309,0.001089588377723971
0.010059482155353393,0.9349593495934959,0.001104455083778242
0.010061242344706912,0.9349593495934959,0.0011155265359806606
0.01006212267039986,0.9349593495934959,0.0011194502336859785
0.010063003150157507,0.9349593495934959,0.0011195209404631617
0.010063883784020303,0.9349593495934959,0.0011579778026677527
0.010065645514223195,0.9349593495934959,0.0011601382442284153
0.010070052539404553,0.9349593495934959,0.0011856564488143435
0.010100122958018619,0.9349593495934959,0.0011906996423609055
0.010111667985579883,0.9349593495934959,0.0012072434607645875
0.010168892032894155,0.9349593495934959,0.0012510581088482798
0.012367107832501627,0.926829268292683,0.0012605042016806723
0.012410189418680601,0.926829268292683,0.001272205680053525
0.012415595730777608,0.926829268292683,0.0012733251758947689
0.01241830065359477,0.926829268292683,0.001277248873600087
0.012419653557032357,0.926829268292683,0.0013049275197466778
0.012434554973821989,0.926829268292683,0.0013108563226382384
0.012435911421402858,0.926829268292683,0.001321607975352724
0.012524719841793012,0.926829268292683,0.0013283208020050126
0.012566137566137565,0.926829268292683,0.0013376073400874612
0.012571680635200706,0.926829268292683,0.0013399244162505062
0.012582781456953643,0.926829268292683,0.0013683304647160068
0.012655417406749556,0.926829268292683,0.001370329179780614
0.013524736030371336,0.926829268292683,0.0013797752726130066
0.013540800570138971,0.926829268292683,0.001392596246827103
0.0135424091233072,0.926829268292683,0.001421636615811373
0.013573044410048815,0.926829268292683,0.0014264736474896877
0.013574660633484163,0.926829268292683,0.001428768280256807
0.013576277241872096,0.926829268292683,0.0014388803312204513
0.013628212791392707,0.926829268292683,0.001440879046285058
0.013669064748201438,0.926829268292683,0.0014475918729373466
0.013700276409085447,0.926829268292683,0.0014529547133144774
0.014089729328883945,0.926829268292683,0.0014541522936362785
0.01409321300531586,0.926829268292683,0.0014584345812386637
0.014094955489614243,0.926829268292683,0.0014757393055865222
0.014101929737753587,0.926829268292683,0.001487601535648341
0.014110657259561827,0.926829268292683,0.0014909189482244511
0.014140411808484247,0.926829268292683,0.0014941699402907433
0.014143920595533498,0.926829268292683,0.0015181417394417908
0.014145675642139224,0.926829268292683,0.0015195539536702145
0.014384858044164037,0.926829268292683,0.0015235045798189216
0.014408493427704751,0.926829268292683,0.001529000046502607
0.014413958781135416,0.926829268292683,0.0015409076867437073
0.014430379746835443,0.926829268292683,0.0015581514021527853
0.01443586171964037,0.926829268292683,0.001563749709093528
0.014450500697173279,0.926829268292683,0.0015722257842468114
0.014770665975641358,0.926829268292683,0.0015741507668875225
0.014772580018141765,0.926829268292683,0.0015816718770792042
0.014774494556765163,0.926829268292683,0.0015901038201746587
0.014785992217898832,0.926829268292683,0.0016101900191567854
0.014799428793976372,0.926829268292683,0.0016134410112230773
0.014803272302298403,0.926829268292683,0.0016140109890109891
0.01486697965571205,0.926829268292683,0.0016235332202775706
0.014868918742663363,0.926829268292683,0.0016248610240569424
0.014870858335507435,0.926829268292683,0.0016342995755979721
0.01487279843444227,0.926829268292683,0.0016388250246025487
0.014948859166011016,0.926829268292683,0.0016388373531230674
0.0149547422274695,0.926829268292683,0.0016427756507512558
0.014966522252855455,0.926829268292683,0.0016610920916490378
0.014970453053184504,0.926829268292683,0.0016839908777275215
0.014972419227738377,0.926829268292683,0.0016901324606333078
0.014980289093298292,0.926829268292683,0.0016960665447569407
0.014982257852543042,0.926829268292683,0.001707376176042386
0.014986196923885895,0.926829268292683,0.0017093748911069927
0.014988167236392323,0.926829268292683,0.0017160877177592813
0.014990138067061143,0.926829268292683,0.001721450558136412
0.015063424947145878,0.926829268292683,0.0017332820599433231
0.01507936507936508,0.926829268292683,0.0017347224644164994
0.015089344804765056,0.926829268292683,0.0017389390270746204
0.015091342335186657,0.926829268292683,0.0017428042912099049
0.015093340394545214,0.926829268292683,0.0017560973804702758
0.015095338983050847,0.926829268292683,0.0017591098676644754
0.015103338632750398,0.926829268292683,0.0017594147930463859
0.015127388535031847,0.926829268292683,0.0017600480066189829
0.01513140430050438,0.926829268292683,0.001782112920796982
0.015135422198619224,0.926829268292683,0.001792000424640856
0.015139442231075698,0.926829268292683,0.0017946877243359654
0.015181781861765881,0.926829268292683,0.0018074383037886689
0.015191897654584221,0.926829268292683,0.0018153376156892752
0.015197973603519531,0.926829268292683,0.0018296597341689194
0.015202026936924923,0.926829268292683,0.0018387229140041392
0.015204054414510537,0.926829268292683,0.0018407216290687461
0.015277405521307961,0.926829268292683,0.0018783809385968095
0.015281501340482574,0.926829268292683,0.0018961921955408078
0.015355603448275862,0.926829268292683,0.0019004087581989293
0.015372168284789644,0.926829268292683,0.0019056382883732006
0.015374241402562374,0.926829268292683,0.001907333197945002
0.015382539468357846,0.926829268292683,0.0019139587952682995
0.015384615384615385,0.926829268292683,0.001926709374721003
0.015386691861249831,0.926829268292683,0.0019305019305019305
0.015468113975576661,0.926829268292683,0.0019645623895788752
0.015472312703583062,0.926829268292683,0.0019712227179017774
0.01558867769725147,0.926829268292683,0.001986062717770035
0.015590809628008753,0.926829268292683,0.002017625231910946
0.015650741350906095,0.926829268292683,0.002041772584406222
0.01565934065934066,0.926829268292683,0.0020531352232698624
0.015661491963181756,0.926829268292683,0.002057771949140959
0.015663643858202802,0.926829268292683,0.0020631835691578997
0.015665796344647518,0.926829268292683,0.0020881750984153907
0.01569815477829799,0.926829268292683,0.0020882309805711004
0.015700316760776753,0.926829268292683,0.002090493788834112
0.015748031496062992,0.926829268292683,0.0021185368833037985
0.015750207239568943,0.926829268292683,0.002132398534968128
0.01575238358435816,0.926829268292683,0.00213689630284328
0.01575673807878369,0.926829268292683,0.002161043655338556
0.015758916228918993,0.926829268292683,0.0021731193223679755
0.01578728707935189,0.926829268292683,0.0021942110177404295
0.01581795476619953,0.926829268292683,0.0022141126476458483
0.01582014987510408,0.926829268292683,0.0022289766970618034
0.01582234559333796,0.926829268292683,0.002239718562723712
0.015824541921154914,0.926829268292683,0.0022436691888724197
0.01582673885880883,0.926829268292683,0.00224568821452658
0.015828936406553733,0.926829268292683,0.0022556390977443606
0.015835532712876788,0.926829268292683,0.0022923903933003095
0.015859766277128547,0.926829268292683,0.0023102684292281564
0.015861973006817867,0.926829268292683,0.002315525928300985
0.015879648976180525,0.926829268292683,0.0023224866802768513
0.015917341524713767,0.926829268292683,0.0023376623376623377
0.01596191542985158,0.926829268292683,0.0023482477679941374
0.015975336322869956,0.926829268292683,0.0023483365949119373
